»ùÒò,±àºÅ,z
LOC391322,7256,3.991379
SNRPB2,12480,3.990196
STAM2,12836,3.987983
ANKRD54,597,3.985421
OR2L13,9199,3.984141
PRODH,10388,3.982939
ATG16L2,975,3.980432
OAZ3,9123,3.972894
PDCL3P4,9555,3.970713
INSM2,6116,3.957961
BBS7,1195,3.956697
THAP7-AS1,13379,3.951597
PRICKLE4,10332,3.950916
B4GALT5,1141,3.945783
CLIP2,2561,3.944997
FBXL12,4453,3.937097
BCAM,1198,3.933702
KLHDC7A,6582,3.932156
ADORA1,288,3.925217
TEX261,13325,3.92187
GOLPH3,5157,3.887182
BAK1,1169,3.875397
EDEM1,3746,3.873348
VPS37C,14624,3.869754
FAAH2,4179,3.866005
ACTR3C,183,3.854502
TTI1,14175,3.850954
ARC,726,3.846529
ISY1,6204,3.82714
AZIN2,1114,3.825793
GDAP2,4937,3.823828
ZC3H7B,14962,3.822648
FOXA3,4680,3.816781
PTGIR,10559,3.816505
SIRT2,11995,3.812148
PTPRT,10612,3.810753
LOC101928087,7184,3.806413
TBKBP1,13207,3.802437
KDM5B,6452,3.802333
CACNA1E,1718,3.802269
TUBA3D,14200,3.794175
WWOX,14809,3.793838
KMT2D,6636,3.792816
LINC02217,7053,3.792228
LY9,7501,3.789568
TMEM121B,13548,3.788108
ARRDC1-AS1,872,3.783953
RARG,10841,3.782613
ABHD11,63,3.781711
C5orf51,1633,3.780832
LCMT2,6824,3.777682
SLC8A3,12292,3.775928
DCLRE1C,3207,3.770969
PLBD2,9907,3.768461
EXTL1,4157,3.764012
SORCS3,12546,3.760651
OR4K2,9213,3.755226
PPT2,10283,3.749716
FBXO5,4496,3.745907
SRPRA,12743,3.742296
ATN1,992,3.73911
CALCA,1749,3.736132
ARL4D,829,3.734182
MIR205HG,7989,3.733101
NUDCD1,9043,3.733012
MAMSTR,7589,3.730245
LDHAL6A,6838,3.724794
MRPL24,8170,3.723596
OR7E47P,9230,3.722357
SLC50A1,12255,3.722245
SLC25A34,12112,3.714707
KEAP1,6460,3.712274
PLA2G6,9891,3.712235
TRMT12,14037,3.708373
ING5,6091,3.701775
ASCL5,915,3.700534
NOL9,8857,3.696235
VPS25,14613,3.694268
ATF5,963,3.691269
PEX11B,9658,3.688724
ZBTB9,14946,3.688094
AAAS,7,3.684544
TRIM49B,14002,3.682947
UBN1,14345,3.677037
SRRD,12747,3.671988
GFRAL,4974,3.670847
CDK16,2200,3.666144
EDC4,3745,3.663827
HNRNPUL1,5763,3.663258
ATPAF2,1075,3.657866
PCOTH,9524,3.657241
MEX3D,7889,3.652228
PRDM10,10302,3.643695
SLC25A14,12093,3.643663
LINC00608,6953,3.64296
FXN,4781,3.634323
CACNB1,1726,3.632148
SRRT,12752,3.626866
SUPT5H,12979,3.623988
TANGO2,13123,3.619427
COLGALT2,2735,3.61379
HIRIP3,5618,3.603827
BEST4,1260,3.598408
RELB,10990,3.594853
GSTO2,5365,3.594091
LOC101927765,7180,3.593772
AACS,8,3.591298
DIEXF,3398,3.590748
ZNRF4,15592,3.588924
GATD1,4907,3.588117
C2orf88,1604,3.587863
ADAMTSL3,229,3.587479
ANKRD45,591,3.586013
SPTBN2,12699,3.582449
NAT14,8522,3.578413
LMAN1L,7078,3.578209
BEST2,1258,3.575027
MPZ,8126,3.574385
TNFAIP8L3,13776,3.57247
GLI4,5048,3.572232
BBOF1,1187,3.567685
NPLOC4,8911,3.565938
LHX8,6891,3.564492
HGS,5584,3.563462
ZNF738,15503,3.56118
NCR2,8581,3.558408
CNOT6L,2647,3.555013
NDUFA10,8601,3.554849
DNAJA3,3478,3.553447
WARS,14671,3.549242
FIGNL1,4588,3.545938
SMIM10L1,12380,3.541994
COPS7B,2764,3.53575
SLC39A11,12216,3.534951
SGPL1,11895,3.534217
SLC43A2,12233,3.533921
RPL27A,11325,3.531939
DHX37,3384,3.530264
EXOSC2,4146,3.522781
DYSF,3703,3.519729
ZNF597,15398,3.514813
PEX26,9666,3.510428
PLEKHF1,9941,3.509063
TACO1,13085,3.508618
MINPP1,7981,3.508125
SORCS1,12544,3.504542
MYCL,8383,3.503843
QRICH1,10677,3.50348
ARHGEF18,789,3.503109
PIM3,9827,3.501582
BACH2,1155,3.500656
PCYT1A,9539,3.499518
RBBP9,10890,3.498856
SH3RF1,11930,3.496945
MICU1,7955,3.496525
VIPR1,14589,3.491963
SEPHS1,11786,3.490891
ZNF839,15562,3.489524
KRTAP19-8,6705,3.489023
HNRNPKP3,5757,3.485677
ZNF329,15221,3.484814
LSM7,7466,3.484095
STOML2,12899,3.481575
FAM43B,4355,3.477974
PTPA,10576,3.477063
MAFG,7555,3.474938
INAFM2,6082,3.468978
ANTXR1,623,3.465891
NCAPG2,8551,3.46215
KRTAP5-2,6719,3.461673
TMEM74,13720,3.460776
ZNF429,15274,3.459924
SIRPG,11993,3.459692
ACAD8,101,3.454723
4-Mar,7684,3.45469
SMG6,12374,3.454087
PRCC,10299,3.447718
EVPLL,4125,3.447106
CAPRIN1,1805,3.446964
KIAA1671,6507,3.446634
SREBF2,12721,3.444765
RAB35,10721,3.440076
BFAR,1268,3.438871
ZNF148,15120,3.431312
KBTBD12,6330,3.429276
CASKIN2,1841,3.428604
INTS3,6125,3.425407
KLF10,6562,3.42414
LOC399815,7257,3.415776
RPA2,11278,3.41317
ETS2,4112,3.412926
NAIF1,8493,3.410822
INTS11,6120,3.410546
VPS50,14631,3.407799
NHLRC3,8752,3.40495
PPFIA3,10170,3.404828
CCDC102A,1898,3.401033
AGFG2,336,3.397807
MAPK4,7659,3.395458
EPS15,4033,3.391957
CAB39L,1701,3.391815
FAM53B,4364,3.391261
TANC2,13122,3.389189
ARMC10,841,3.387447
TTC9,14170,3.383852
B3GAT3,1125,3.382132
ZBTB5,14939,3.378237
C17orf67,1492,3.377562
AKAP13,396,3.376777
KCNB2,6348,3.369874
PAXBP1-AS1,9433,3.368573
FADS6,4193,3.366841
CLSTN1,2585,3.360069
TBC1D8B,13195,3.357206
TIGD1,13421,3.356748
ARFIP2,741,3.35435
NUP98,9091,3.350193
RGMA,11050,3.347701
WASHC2C,14679,3.347616
FAM219B,4332,3.346527
MKL1,8009,3.345861
ABLIM3,88,3.345857
LOC101927278,7173,3.345424
C19orf66,1511,3.344714
PPM1L,10204,3.342772
TBR1,13215,3.342705
ZFP64,15037,3.342675
ZNF385B,15251,3.34082
ZNF135,15110,3.340815
SGIP1,11888,3.33285
CTNNA2,2992,3.331193
GZMH,5427,3.330257
MRPS14,8206,3.32887
HS3ST4,5814,3.328504
NUFIP1,9067,3.327933
NDUFAF6,8622,3.323579
TCOF1,13266,3.319868
GLB1,5038,3.317805
EPS15L1,4034,3.315403
LOC100132249,7124,3.314007
RNF167,11206,3.31349
USF3,14465,3.312312
MSANTD2,8242,3.309026
TSEN2,14083,3.30539
DAGLA,3149,3.305173
ING4,6090,3.304513
AUNIP,1094,3.301561
LRRC59,7421,3.301392
ZNF513,15328,3.297544
TAB2,13077,3.288201
AP4B1,657,3.286561
COX19,2795,3.285773
RECQL5,10981,3.284547
NRF1,8965,3.283371
PIAS3,9778,3.277456
GLI1,5046,3.276584
FAM102B,4204,3.274947
ZNF71,15480,3.26662
STRN,12912,3.265714
CENPU,2285,3.264611
SDHC,11701,3.264083
WIPI1,14776,3.263289
KHSRP,6469,3.262836
SRSF8,12763,3.261861
LIMK1,6907,3.261125
CWC22,3043,3.260019
PREB,10317,3.254559
SP6,12585,3.250204
ZNF662,15440,3.248024
TLE3,13469,3.246792
PIH1D2,9810,3.246138
SMURF1,12419,3.24588
PLAA,9894,3.243103
NAALADL2,8472,3.240808
KCTD13,6420,3.240409
C3orf22,1610,3.239871
ACHE,122,3.238809
ZC4H2,14967,3.238149
ELK1,3889,3.237955
CISH,2495,3.233454
EFNA3,3789,3.232216
KRTAP4-12,6716,3.231478
TM2D1,13490,3.228441
CDK11A,2194,3.228025
UBOX5,14347,3.227834
ESS2,4098,3.223767
OR3A2,9209,3.222998
VAMP2,14542,3.221734
PCBP2,9452,3.220838
SPIN4,12651,3.217079
KLHL3,6601,3.21438
SLC35A2,12176,3.213475
SENP7,11784,3.213345
PARP4,9411,3.210696
PACS2,9336,3.205939
TTC16,14141,3.203747
TMEM141,13568,3.200766
DESI2,3328,3.195835
PTPN2,10585,3.193693
ZBED6CL,14906,3.193051
FAM160A1,4257,3.189285
ARPC1A,859,3.187794
3-Mar,7683,3.185396
PPIL2,10188,3.182077
BEND3,1253,3.181622
PCDHB18P,9482,3.176816
FAM27E2,4347,3.175187
TARBP2,13136,3.173768
TOX,13859,3.173732
ZNF862,15572,3.170918
EFHB,3780,3.169673
FAM20A,4317,3.168932
ENKD1,3963,3.166526
SFT2D3,11874,3.166137
RNF150,11200,3.16495
SP2,12581,3.162595
LRRC10B,7385,3.162359
ADGRL1,269,3.161344
TDP1,13279,3.159552
ZNF200,15140,3.157594
AKR7A3,415,3.157183
NUDT19,9056,3.157023
GMIP,5087,3.156609
PIGO,9800,3.156315
TTL,14177,3.151367
LONRF1,7331,3.149737
C22orf23,1576,3.147649
B4GALT6,1142,3.146199
SF1,11854,3.145763
MITD1,8005,3.145209
KCTD17,6424,3.142905
CHI3L1,2409,3.140318
CCDC122,1912,3.139836
PPM1J,10202,3.136717
KCNJ14,6376,3.136715
NAT9,8526,3.135856
NCOR2,8580,3.134568
RIMS4,11126,3.132941
MPHOSPH6,8104,3.132653
NOP9,8870,3.131976
SAP25,11573,3.131842
SH3BP2,11916,3.130966
TMEM233,13650,3.130033
SUSD6,12992,3.129851
PRORY,10392,3.127534
ZNF343,15232,3.126694
IGSF1,6005,3.125846
CASP8,1851,3.124248
BCL9,1233,3.123034
UBE2T,14327,3.122151
TMX2,13765,3.120815
LOC728485,7306,3.120553
MIER1,7965,3.119742
TTBK1,14135,3.118943
COPA,2751,3.118669
UQCC1,14439,3.115027
ZSCAN1,15599,3.112463
HMGA1,5713,3.109794
TMEM41A,13691,3.108951
MFAP3,7891,3.108339
DCAF5,3189,3.108262
ICOSLG,5915,3.099289
ZDHHC23,14999,3.0988
ZSWIM1,15616,3.098041
ARHGAP12,747,3.095463
SLC25A51P1,12130,3.094798
FUT8-AS1,4778,3.09334
MSI1,8248,3.092901
ADAM11,202,3.091727
HRAS,5800,3.089974
HBG1,5482,3.089959
NYX,9115,3.088591
F2RL1,4172,3.087724
ELMOD1,3898,3.086775
PLXNA2,10000,3.083433
GCC1,4919,3.082707
TRIM41,13996,3.080883
TRIR,14028,3.079011
MYRIP,8444,3.076984
MIXL1,8007,3.076734
CNPY4,2656,3.07553
GALR1,4874,3.073597
ZNF45,15293,3.072155
PGBD5,9699,3.071816
FAM117A,4220,3.070886
ATRN,1079,3.070841
LOC100294145,7142,3.06982
9-Mar,7689,3.069608
CREB3L4,2868,3.068471
G6PC3,4809,3.067313
MORC2-AS1,8081,3.065858
SEPHS2,11787,3.064872
JADE3,6259,3.064281
AVL9,1103,3.062869
DMGDH,3453,3.062392
SHB,11939,3.060032
APTX,711,3.058429
14-Sep,11792,3.058134
ARL5B,831,3.057721
ISCA2,6189,3.057703
ZNF445,15290,3.05756
DGAT1,3333,3.054563
LOC100133331,7129,3.054412
PTBP2,10537,3.052722
NT5C3B,9012,3.050943
FAM83H,4382,3.048358
TBC1D10B,13167,3.048174
LINC01869,7040,3.047531
RB1,10882,3.047339
PDGFC,9583,3.0472
CSPG4,2954,3.046538
CEP135,2296,3.041099
PKD1,9863,3.040123
KRTAP9-4,6731,3.038603
AHCY,357,3.037668
GANC,4880,3.037629
IL7R,6056,3.03715
SLC9A8,12301,3.035998
OLIG2,9158,3.034192
LYRM1,7517,3.033264
CABP7,1710,3.030411
PLXNA1,9999,3.029434
TTC12,14138,3.028818
LSM12,7458,3.02646
ASAP1,893,3.026146
MORC3,8082,3.025097
HMX3,5736,3.025087
FOXL2,4698,3.021489
ATAD2B,951,3.017013
ZFP91,15042,3.016552
ZMYM3,15087,3.01606
KCNQ3,6407,3.015063
SNAI2,12426,3.011442
CHML,2416,3.010454
RABL3,10764,3.005935
OXSR1,9298,3.005116
PARP3,9410,3.001639
MYOG,8435,2.998518
FEZF2,4539,2.997785
GNRH2,5136,2.997208
CRTAP,2903,2.996529
DNAJC11,3493,2.995734
SLC23A2,12081,2.9954
CFAP206,2342,2.994643
UBN2,14346,2.99032
TBXT,13226,2.987062
BTBD7,1397,2.985794
HAUS8,5475,2.984783
ORC3,9239,2.983335
CLDN3,2532,2.981693
CNOT1,2640,2.977613
SLC25A26,12105,2.97584
ZNF720,15489,2.975693
VIPAS39,14588,2.97201
ZNF251,15175,2.971409
SYNGR1,13033,2.970882
TANGO6,13124,2.967604
LINC00680,6966,2.966686
FER,4532,2.965871
ZNF704,15475,2.965268
MTFMT,8294,2.964548
MOV10,8095,2.962763
SNTG2,12492,2.959433
EEFSEC,3768,2.959372
WDR86,14748,2.959132
ZNF646,15430,2.956272
ACSF2,149,2.956005
SP9,12587,2.955909
SPRED3,12679,2.954266
SPINK8,12654,2.952036
KLHL5,6610,2.951803
MRRF,8233,2.951309
TDRD6,13284,2.95073
DLG3,3432,2.949536
TNXB,13821,2.946939
CENPP,2281,2.94531
RANBP17,10812,2.945103
SNRNP35,12473,2.943689
NMNAT1,8831,2.943181
CCNK,2040,2.94188
DDX50,3273,2.939788
BRMS1,1371,2.938527
GRM4,5328,2.936535
COPG1,2755,2.935938
ZNF707,15477,2.935372
CDKAL1,2218,2.93484
FADD,4189,2.934777
MLLT10,8028,2.934254
GPR19,5243,2.93347
TIMM22,13435,2.931547
PRH2,10328,2.931454
BOLA2-SMG1P6,1334,2.931215
CKM,2505,2.929765
MROH6,8151,2.92856
NELFB,8682,2.927902
IFITM5,5958,2.927862
CPAMD8,2813,2.927506
KLHL13,6589,2.926188
LOC100419583,7144,2.926008
ZNF628,15423,2.925651
HHIP-AS1,5590,2.924835
ALG11,448,2.923775
TMEM199,13626,2.921897
PLXNC1,10006,2.921853
FAM198A,4300,2.921787
CREB3L1,2865,2.920586
BCL7B,1231,2.919833
SCAMP2,11614,2.918329
NBR2,8544,2.916212
NEMP2,8689,2.915658
GPD1,5195,2.914845
OR10H2,9181,2.914611
GOLT1A,5159,2.914015
INF2,6086,2.910601
ZNF557,15359,2.91046
ERCC8,4054,2.907654
RTP4,11493,2.904562
TMCO6,13517,2.904411
WFDC3,14763,2.904403
ZMYND10,15091,2.904339
LOC100126784,7105,2.904156
DMKN,3454,2.903949
GPR161,5233,2.903764
ARTN,886,2.903256
DBF4B,3167,2.901224
MIEF2,7963,2.900279
PLEKHA7,9936,2.90013
THUMPD2,13409,2.89899
SPSB1,12692,2.89751
RAB22A,10705,2.895754
SLC5A10,12259,2.888991
CTDP1,2981,2.888872
KRT3,6674,2.888267
TSTD2,14133,2.886617
CREB1,2863,2.883295
MCRIP1,7769,2.881015
KLK9,6624,2.880503
CSPG5,2956,2.880354
THEM6,13389,2.879937
LYSMD1,7522,2.879854
SCYL3,11681,2.879649
ING1,6087,2.87958
MPV17,8123,2.879266
C16orf58,1479,2.87874
MYO15B,8416,2.877555
POLR2A,10095,2.876756
MUC4,8344,2.875915
CALML6,1762,2.875441
ZNF362,15242,2.875004
ADNP2,286,2.874486
PEPD,9647,2.874431
OTUD6A,9281,2.872527
INPPL1,6111,2.87183
MAPT,7677,2.869117
TTC7A,14167,2.868733
KRAS,6654,2.865013
LOC101927502,7176,2.863824
ATXN7L1,1089,2.863008
UST,14523,2.862922
FAM72A,4375,2.861964
ZBTB33,14925,2.861184
NUDT17,9054,2.858486
KCNH3,6363,2.857724
NDUFAF4,8619,2.857042
LRCH2,7356,2.855474
PRR22,10427,2.854749
PLCB2,9909,2.85334
PUSL1,10635,2.852605
ZSCAN25,15608,2.852416
LARS2,6793,2.851646
CALCOCO1,1750,2.848591
CBX6,1888,2.848115
UBE2V2,14328,2.845456
POC1B,10061,2.844236
SETDB2,11848,2.843526
CDC42SE1,2157,2.842291
ZNF592,15393,2.841132
RASA2,10848,2.841061
B3GNT9,1133,2.840811
EPHA7,4015,2.840765
PSORS1C2,10528,2.838924
MAGIX,7572,2.834024
SAMD15,11562,2.83393
KLF14,6566,2.83391
SLC6A16,12271,2.832846
ZNF598,15399,2.83281
LOC728024,7304,2.831293
PYGB,10659,2.830777
DNAJB7,3489,2.829856
CCKBR,2009,2.829794
MFSD6,7914,2.828092
ZNF517,15331,2.827968
UNC119B,14411,2.82538
LINC01126,6999,2.824522
ISG20L2,6193,2.824479
PCGF6,9506,2.824055
MGRN1,7938,2.824006
LRRC75A,7429,2.822945
FANCC,4410,2.821565
EN2,3953,2.820418
ATP6V1E2,1059,2.819831
GRAMD1B,5284,2.819633
SNHG17,12454,2.81879
ZNF214,15150,2.81835
TMED9,13527,2.816128
TM2D2,13491,2.815413
KISS1R,6554,2.812919
SLC6A8,12277,2.808861
MAPRE3,7676,2.808395
ENO3,3968,2.807652
DCP1B,3210,2.806902
FUZ,4780,2.806211
LRRC55,7417,2.806067
SOX7,12572,2.803163
ZBTB2,14917,2.803026
PPP2R2B,10253,2.800668
TK2,13460,2.800394
COA4,2679,2.799009
ASAP3,897,2.798748
CCDC121,1911,2.797981
TMEM151A,13579,2.797448
TBC1D9B,13197,2.797349
ANXA6,633,2.797142
IL17RE,6035,2.78412
FCER1G,4508,2.783995
KIAA0754,6481,2.781651
MORN5,8090,2.781246
CTBP1-AS2,2975,2.780238
TCTA,13270,2.778687
PGM3,9708,2.777979
LINC00595,6950,2.777882
STRA6,12905,2.777856
SYVN1,13070,2.777705
POLR3F,10113,2.776918
DLX4,3447,2.775956
RRH,11434,2.772841
SLN,12328,2.772104
SHF,11945,2.771804
LYRM7,7520,2.771631
PPP1R37,10236,2.768328
PCDHB8,9488,2.768262
XKR8,14823,2.759883
SUPT3H,12977,2.759242
TOP1,13843,2.759031
SDR39U1,11706,2.758143
MLH1,8023,2.757397
MAF1,7551,2.757159
ZNF563,15365,2.756806
ZNF425,15271,2.75599
PPP1R15B,10223,2.755641
RASSF5,10875,2.755108
INO80D,6099,2.753802
SLC25A22,12101,2.753618
MEPCE,7851,2.753569
COPZ1,2767,2.752999
CCT8L2,2070,2.750474
FRS2,4735,2.750341
CCND2-AS1,2028,2.750106
TPM3,13890,2.749707
PRDM12,10304,2.742478
ELOA,3903,2.741233
PATZ1,9425,2.740105
SCRT2,11674,2.738454
PPP2R1A,10250,2.73609
POP4,10134,2.735882
CACTIN,1737,2.734853
TAF6,13108,2.734839
ZNF580,15383,2.732907
OR10H5,9182,2.732081
FAM206A,4311,2.73142
APBA2,667,2.730862
SMIM3,12395,2.730633
ATG2A,976,2.729806
UNK,14426,2.728157
DDX27,3261,2.727959
ZPR1,15594,2.727258
SH2D2A,11907,2.726703
KLHDC3,6580,2.725244
SATB2,11592,2.725161
FAM207A,4312,2.723936
SCUBE2,11677,2.723417
CTSS,3016,2.72155
WBP11P1,14685,2.721438
LARGE1,6784,2.720128
ZP3,15593,2.720106
BCDIN3D,1211,2.719033
MEX3C,7888,2.716985
LOC401357,7263,2.714065
SLC41A2,12230,2.71336
MYOT,8439,2.711927
PJVK,9862,2.710672
CTNNBIP1,2996,2.710568
LYPD3,7510,2.710538
CLPS,2580,2.709379
PNPLA6,10053,2.709288
SPON1,12666,2.709275
FGF3,4557,2.708131
ODF3L1,9135,2.706479
GYG2P1,5422,2.706229
LAGE3,6754,2.705275
POMT2,10129,2.705209
HRK,5808,2.704228
PCBP3,9453,2.702853
TBATA,13164,2.70133
URM1,14458,2.701067
GUK1,5410,2.698535
SLC1A5,12063,2.693771
MIEF1,7962,2.693484
POLR2D,10098,2.692614
ZNF493,15317,2.692557
COMMD3,2740,2.692064
KRT78,6677,2.690921
TAC1,13079,2.689712
PROSER2,10395,2.689631
MAFA,7552,2.688443
CCDC57,1968,2.686871
RTN4R,11489,2.685252
GALNT3,4867,2.684576
MPZL3,8128,2.682516
EIF2S1,3838,2.680705
NUP107,9072,2.680417
MEGF8,7839,2.678738
TMEM179,13607,2.676488
ABCF3,56,2.673911
PKD2L1,9866,2.672813
FCF1,4510,2.672365
FBXO6,4497,2.672214
CTSC,3009,2.672178
OGFR,9144,2.670677
LINC01278,7012,2.670233
USP22,14482,2.669886
VPS9D1,14638,2.669027
NDOR1,8591,2.668358
GOLGA2P5,5141,2.666611
SLC46A1,12241,2.666282
VIT,14592,2.66454
LINC02145,7051,2.662738
ARHGAP20,751,2.660827
CXorf38,3066,2.659973
CRYGA,2916,2.659252
CFL2,2364,2.659193
BAZ2A,1183,2.658343
CDT1,2242,2.657843
LOC284009,7238,2.657724
RNF5,11243,2.657161
CCDC97,2002,2.65685
B4GALT3,1139,2.652469
UBE3B,14332,2.649281
SURF2,12984,2.649235
ISX,6203,2.648837
MBIP,7726,2.647478
UBTF,14360,2.646364
EIF4E1B,3860,2.646131
RWDD2A,11513,2.644339
ARHGAP17,748,2.64405
PIK3AP1,9811,2.643576
TOR1A,13852,2.642387
NUDT18,9055,2.640266
TNFAIP6,13772,2.640179
UBFD1,14337,2.638969
AP1S1,643,2.638303
GAN,4878,2.637451
DBN1,3170,2.635763
SPOCK1,12663,2.635393
SOCS2,12529,2.635043
SPATA25,12609,2.634108
SPNS2,12660,2.63385
KAT5,6317,2.633726
SPACA3,12589,2.632508
USP9Y,14521,2.63232
ERF,4055,2.631871
CLSTN2,2586,2.631369
ACBD6,115,2.630183
CCAR2,1896,2.625781
RAB42,10738,2.625648
ZNF736,15501,2.625308
KRTAP5-8,6724,2.624043
KPNA4,6649,2.623299
CSGALNACT2,2938,2.621412
PTGER4P2-CDK2AP2P2,10555,2.620744
KCNJ9,6384,2.620126
SPATA7,12617,2.62003
ATP1B2,1011,2.618698
NTHL1,9019,2.61536
CELSR2,2267,2.615128
FAS,4429,2.614975
CFAP65,2350,2.614847
FCHSD2,4518,2.614837
TAOK2,13127,2.613066
CCNB1,2022,2.612056
DCK,3202,2.610429
PLSCR1,9993,2.610238
BAHD1,1164,2.610156
DNAJB13,3483,2.609954
WWP2,14811,2.607652
GLP2R,5060,2.606959
FBXL20,4461,2.606275
BICDL1,1280,2.605874
AMER3,494,2.599965
ZNF696,15466,2.597774
GOLGA5,5146,2.597584
PDE5A,9571,2.597448
SSSCA1,12788,2.595126
HBZ,5487,2.593868
NARF,8516,2.592906
ZFYVE28,15056,2.592788
NKAIN2,8783,2.592296
NRIP3,8973,2.589408
PWP2,10644,2.589229
CCDC153,1934,2.589149
SCARNA17,11628,2.588717
MFSD14B,7906,2.58847
SH2B1,11904,2.587508
TAP2,13130,2.586817
NRSN2,8982,2.586417
NWD2,9100,2.586093
PCDHB15,9479,2.585738
MPG,8102,2.583258
DCAF12,3181,2.583153
SIRT5,11998,2.582645
CASZ1,1858,2.582475
ZNF319,15214,2.581829
BMF,1305,2.581555
LINC02012,7047,2.580688
RNF126,11186,2.580274
VPS37D,14625,2.577726
HPS1,5793,2.576902
EMILIN3,3939,2.57413
LINC01003,6988,2.57402
GEMIN2,4953,2.573893
RRAGB,11427,2.573408
NEK6,8677,2.573031
ELOC,3905,2.572321
SUMF2,12967,2.571853
UBE3C,14333,2.571709
PMM2,10016,2.570778
NOP16,8865,2.570409
PSMC4,10500,2.568271
IL17RA,6031,2.567501
NSD1,8987,2.566616
LSM6,7465,2.563624
VCPKMT,14569,2.5633
CLDN15,2530,2.561996
COPS8,2765,2.561839
SCAMP1,11612,2.561556
ST3GAL3,12806,2.561251
KRBOX1,6657,2.559819
MRVI1-AS1,8237,2.559174
PLXDC1,9997,2.558133
MAVS,7716,2.556056
PSME3,10519,2.555456
MGAT2,7921,2.553431
RING1,11130,2.553077
MROH7,8152,2.552779
LCE6A,6821,2.552339
SCGB1C2,11639,2.551272
GOLGA2,5139,2.550155
CALML4,1761,2.547721
MTO1,8322,2.547146
TAF1B,13098,2.546474
VPS41,14627,2.545241
SHPRH,11959,2.545114
EPHA5-AS1,4013,2.544259
